0	0 1 4	12 1 6	
1	5 1 0	2 7 0	
2	0 2 5	1 3 8	
3	6 2 0	4 9 2	
4	0 3 6	3 5 10	
5	7 3 0	19 11 4	
6	8 4 1	7 13 0	
7	1 5 8	6 1 14	
8	9 5 2	9 15 2	
9	2 6 9	8 3 16	
10	10 6 3	11 17 4	
11	3 7 10	10 5 18	
12	11 0 4	13 26 0	
13	4 8 11	12 6 20	
14	12 8 5	15 21 7	
15	5 9 12	14 8 22	
16	13 9 6	17 23 9	
17	6 10 13	16 10 24	
18	14 10 7	19 25 11	
19	7 0 14	18 5 33	
20	15 11 8	21 27 13	
21	8 12 15	20 14 28	
22	16 12 9	23 29 15	
23	9 13 16	22 16 30	
24	17 13 10	25 31 17	
25	10 14 17	24 18 32	
26	18 0 11	27 40 12	
27	11 15 18	26 20 34	
28	19 15 12	29 35 21	
29	12 16 19	28 22 36	
30	20 16 13	31 37 23	
31	13 17 20	30 24 38	
32	21 17 14	33 39 25	
33	14 0 21	32 19 47	
34	22 18 15	35 41 27	
35	15 19 22	34 28 42	
36	23 19 16	37 43 29	
37	16 20 23	36 30 44	
38	24 20 17	39 45 31	
39	17 21 24	38 32 46	
40	25 0 18	41 54 26	
41	18 22 25	40 34 48	
42	26 22 19	43 49 35	
43	19 23 26	42 36 50	
44	27 23 20	45 51 37	
45	20 24 27	44 38 52	
46	28 24 21	47 53 39	
47	21 0 28	46 33 61	
48	29 25 22	49 55 41	
49	22 26 29	48 42 56	
50	30 26 23	51 57 43	
51	23 27 30	50 44 58	
52	31 27 24	53 59 45	
53	24 28 31	52 46 60	
54	32 0 25	55 68 40	
55	25 29 32	54 48 62	
56	33 29 26	57 63 49	
57	26 30 33	56 50 64	
58	34 30 27	59 65 51	
59	27 31 34	58 52 66	
60	35 31 28	61 67 53	
61	28 0 35	60 47 75	
62	36 32 29	63 69 55	
63	29 33 36	62 56 70	
64	37 33 30	65 71 57	
65	30 34 37	64 58 72	
66	38 34 31	67 73 59	
67	31 35 38	66 60 74	
68	39 0 32	69 82 54	
69	32 36 39	68 62 76	
70	40 36 33	71 77 63	
71	33 37 40	70 64 78	
72	41 37 34	73 79 65	
73	34 38 41	72 66 80	
74	42 38 35	75 88 67	
75	35 0 42	74 61 89	
76	43 39 36	77 83 69	
77	36 40 43	76 70 84	
78	44 40 37	79 85 71	
79	37 41 44	78 72 86	
80	45 41 38	81 87 73	
81	45 38 53	107 80 88	
82	46 0 39	83 96 68	
83	39 43 46	82 76 90	
84	47 43 40	85 91 77	
85	40 44 47	84 78 92	
86	48 44 41	87 93 79	
87	41 45 48	86 80 94	
88	42 53 38	74 95 81	
89	42 0 49	95 75 101	
90	50 46 43	91 96 83	
91	43 47 50	90 84 97	
92	51 47 44	93 98 85	
93	44 48 51	92 86 99	
94	48 45 52	100 87 105	
95	49 53 42	89 104 88	
96	46 50 0	82 90 97	
97	0 50 47	98 96 91	
98	47 51 0	97 92 99	
99	0 51 48	100 98 93	
100	48 52 0	99 94 103	
101	0 55 49	89 103 106	
102	55 52 54	106 103 105	
103	0 52 55	101 100 102	
104	49 54 53	95 106 107	
105	45 54 52	94 107 102	
106	49 55 54	104 101 102	
107	53 54 45	81 104 105	
